# path<TAB>cap<TAB>kind<TAB>justification
portable/mac/SPDFMacTabStripView.mm	1119	legacy	Legacy AppKit tab strip, -4 lines now the per-tab fill/outline decision lives in SPDFMacTabStripStyle.{h,mm}; freeze growth pending layout/input split.
portable/mac/SPDFMacUIHelpers.mm	744	exception	Mixed AppKit helper views, down from a 1332-line legacy cap: the out-of-focus zoom subsystem moved wholesale to SPDFMacInactiveZoom.mm, then the two custom-drawn toolbar buttons to SPDFMacToolbarButtons.mm. Still mixed, so further additions belong in a focused file, not here.
portable/mac/SPDFUpdater.mm	1576	legacy	Legacy signed updater, -5 lines after the pure download bounds moved to SPDFUpdaterDownloadBounds.mm, -7 lines routing the support-directory lookup through spdf_mac_support_directory() (SPDFMacSupport.mm) so SPDF_STATE_DIR redirects it; freeze growth pending trust/transport/UI split.
portable/mac/ShenzhenPDFMac.mm	16297	legacy	Legacy macOS coordinator hotspot; -253 lines moving the launch-prerender subsystem (SPDFLaunchPrerenderResult, the prerender statics, and the startLaunchPrerender/retargetLaunchPrerenderToOpenedPath:/beginLaunchPrerenderForNamedPath:/takeLaunchPrerenderedDocumentForPath:/releaseLaunchPrerenderedMetadata methods) to SPDFMacLaunchPrerender.mm; -20 lines by removing the PDF copy-permission gates now that copying is always allowed (see shenzhen_pdf_core.h); Markdown find branches delegated to SPDFMacMarkdownFindIntegration, deterministic About squircle mask, +10 lines for the stranded-markdown-tab backstop on the openPaths/selectTabAtIndex/restore early-return paths, +37 lines for exact-viewport fit (viewport-height hints, fit-only vertical scroller, vertical scroll lock), +39 lines for the YAML state-file boundary (codec conversion + flock-guarded JSON migration), +5 lines for the Markdown reading-theme toggle hooks (persistence key + toolbar wiring; the feature itself lives in SPDFMacReadingThemeIntegration.mm), +45 lines for widening that theme to every document (View and Settings menu rows with their validateMenuItem cases, the second persisted key, the render-flag and cache-variant hooks in the two render wrappers, and the launch-prerender preference read; the feature itself stays in SPDFMacReadingThemeIntegration.mm), -8 lines by moving the Translate entry-point enablement into SPDFMacTranslationEnablement.mm, -63 lines by moving the Open.../Open Path browse flow into SPDFMacFileBrowsing.mm; no further growth before staged extraction; +/-0 lines moving the single pre-paint toolbar-overflow pass from buildWindow's finalSync to the end of applicationDidFinishLaunching, so the startup document work no longer solves the toolbar nine times before the first frame; -16 lines moving the per-document view-state seam (prepareSelectedTabViewState:path:, which now also adopts the tab's keep-image-colors choice) to SPDFMacTabViewState.mm; -27 more lines moving -newDocumentView/-replaceDocumentViewForTabSwitch to SPDFMacTabViewState.mm, where the document view a tab switch installs now applies the reading theme; -16 more lines moving -reloadSelectedTabFromDiskChange to SPDFMacTabViewState.mm, where the Markdown branch reloads in place instead of reopening the tab; -22 more lines moving the sidebar row view and its styling to SPDFMacSidebarChapters.mm, which owns the chapter nesting they now draw; -23 more lines collapsing the duplicated session tab serialiser onto spdf_dictionary_from_tab, the single writer the reader already matched; -1 more line grouping the document window's reader/delegate/title/minimum-size and saved-frame application into spdf_window_configure_document_window (SPDFMacWindowPlacement.mm). -1 more line handing the sidebar filter field's trailing edge to SPDFMacSidebarChapters.mm, which now sizes it around the expand/collapse button on that row. -9 more lines moving -syncSidebarModeControlSegmentsForSearchAvailability: to SPDFMacSidebarChapters.mm, which owns the chapter nesting the mode control's selection decides. -43 more lines moving the OCR toolchain installer script to SPDFMacOCRInstall.mm, which also fetches the Noto fonts ocrmypdf needs to draw recognised text. -17 more lines moving -selectableTextStateForPDFAtPath:errorMessage: to SPDFMacOCRValidation.mm, which also decides whether an OCR run skipped pages. -28 more lines moving the external-tool launch environment (discovery order, the PATH build, the Python-variable scrub) and the Argos installer to SPDFMacToolEnvironment.mm. -1 more line net: SPDFHumanReadableOCRFailure moved to SPDFMacOCRValidation.mm as spdf_mac_ocr_human_readable_failure, paying for the retry that takes ocrmypdf's advice when it refuses a file outright. -9 more lines moving -taskEnvironmentWithToolPaths:(extra:) to SPDFMacToolEnvironmentIntegration.mm, which is also where a machine still on its own ocrmypdf or Argos is adopted into the app's virtualenv. -4 more lines moving the two reading-theme View rows to SPDFMacReadingThemeIntegration.mm, which owns the theme they toggle. -40 more lines moving the Argos install offer for selection translation to SPDFMacTranslationInstall.mm, paying for the environment gates on the OCR and translation entry points. -23 more lines moving the ocrmypdf command line to SPDFMacOCRCommand.mm, where the measurement behind each flag can be tested. -8 more lines moving the translation busy guards into beginTranslateCommandForSender:, the gate every Translate entry point already passes through, paying for the Markdown whole-document branch. -24 more lines moving -detachTabAtIndex: to SPDFMacTabDetach.mm, which also hands the tab's reading position to the process the detach launches.
portable/mac/markdown/SPDFMarkdownHTMLBlocks.mm	553	exception	Cohesive HTML block-island translator: island classification plus one Gumbo DOM-to-model walker (headings, containers, lists, quotes, details, pre, tables); new element families belong in focused helpers.
portable/mac/tests/SPDFMacMarkdownSessionTests.mm	662	exception	Single-binary session lifecycle regression suite; cancellation/self-heal orderings stay cohesive in one deterministic harness; +115 lines for the reading-theme apply/no-op/catch-up/canvas-paper coverage mirroring the fontScale tests.
portable/mac/tests/SPDFStateYamlTests.mm	685	exception	Cohesive YAML codec regression suite (round-trips, emit shape, migration incl. downgrade re-migration, rejection cases) in one deterministic harness; +1 line for the markdownTheme settings key; +12 lines for the per-tab markdownLandscape boolean (session fixture key plus the bare-boolean emit and hand-edit checks the paper orientation depends on).
portable/mac/tests/markdown/SPDFMarkdownDiagramLayoutTests.mm	511	exception	Cohesive property-based flowchart-layout regression suite (overlap, monotone columns, column air, routed long edges, fan/chain shape, border anchoring, determinism, page-box fit) reading properties off one measured model per case; +52 lines for the reflow rung that overruns the dimension budget, whose fixture and drawn-within-size check pin that a failed reflow attempt is re-laid-out at its best wrap rather than emitted under an earlier attempt's fit.
portable/win/mupdf-gen-ninja-native.sh	523	exception	Mechanical translator from mupdf/Makefile's own recipe to an MSVC/ninja build: the make -n parser, the flag-translation tables and the ninja emitter must stay beside each other to be auditable as one mapping, and it embeds its emitter as a python heredoc that cannot be split without sourcing a second file at runtime; new build variants belong in focused helpers.
tools/efi/Dia2Subset.h	571	exception	Intentional minimal DIA SDK subset kept local for the EFI diagnostic tool.
tools/efi/main.cpp	663	exception	Cohesive EFI diagnostic command-line tool.
tools/sizer/pdbfile.cpp	715	exception	Cohesive PDB parsing component for the size-analysis tool.
